,0
0,[]
1,['difficult']
2,"['bearing', 'problems', 'vibration']"
3,"['mechanical', 'noise']"
4,"['expensive', 'system']"
5,"['forces', 'optimization', 'support']"
6,"['heavy', 'outer', 'static', 'transport', 'voltage']"
7,"['becomes', 'complex', 'cool', 'damage', 'expands', 'extra', 'frequency', 'maintain', 'manufacture', 'pose', 'problematic', 'rotation', 'shaft']"
8,"['access', 'blading', 'cause', 'converter', 'costs', 'diameter', 'dynamic', 'early', 'eventually', 'exchange', 'extremely', 'filter', 'flicker', 'ground', 'heated', 'install', 'likelihood', 'logistics', 'nonlinear', 'order', 'particle', 'risk', 'segment', 'size', 'tend', 'transporting']"
9,"['brushes', 'change', 'construction', 'damaged', 'disk', 'dust', 'fans', 'grounding', 'insert', 'introduction', 'leads', 'major', 'mount', 'physical', 'replace', 'rotated', 'rotational', 'spikes', 'stall', 'starter', 'this', 'voltages']"
10,['to']
11,"['and', 'failure']"
12,"['brake', 'fatigue', 'problem']"
13,['increasingly']
14,"['arrangement', 'manufacturing', 'stability', 'surface']"
15,"['elements', 'gravitational', 'in']"
16,"['acoustic', 'assembly', 'boundry', 'cylindrical', 'drops', 'entity', 'excess', 'indeterminacy', 'issue', 'linear', 'millimeters', 'site', 'source', 'will']"
17,"['arrangements', 'base', 'ends', 'geometry', 'heats', 'higher', 'iron', 'owing', 'rate', 'tolerance']"
18,"['generator', 'power', 'torque', 'turbine']"
19,['the']
20,['of']
21,"['cooling', 'heat', 'wind']"
22,"['air', 'reactive', 'rotor']"
23,['gap']
24,"['drive', 'electrical', 'high', 'ripple']"
25,"['cogging', 'generation', 'uncontrollable']"
26,"['entire', 'large', 'structure']"
27,"['direct', 'is', 'load', 'long', 'supply']"
28,"['electric', 'grid', 'medium', 'over', 'permanent', 'reduction', 'roller', 'speed', 'winding']"
29,"['challenge', 'constant', 'consumption', 'control', 'design', 'distances', 'efficient', 'energy', 'fail', 'inertia', 'lack', 'low', 'magnet', 'operation', 'poor', 'providing', 'ring', 'slip', 'small', 'transfer', 'undesirable', 'uneven']"
30,"['bearings', 'blade', 'brakes', 'contact', 'damaging', 'depending', 'dissipation', 'factor', 'harmonics', 'installation', 'insufficient', 'lightning', 'machine', 'magnetic', 'magnets', 'mass', 'material', 'motor', 'narrow', 'output', 'pressure', 'pulsation', 'space', 'stator', 'structural', 'wear', 'windings']"
31,"['a', 'acting', 'advantageous', 'aerodynamic', 'airborne', 'are', 'area', 'automation', 'average', 'avoiding', 'axial', 'behaviour', 'big', 'can', 'carry', 'coefficient', 'coil', 'coils', 'comparatively', 'compatibility', 'condition', 'conventional', 'corrosion', 'deformation', 'deformations', 'degree', 'designing', 'device', 'disadvantage', 'disadvantages', 'distribution', 'double', 'due', 'equipment', 'etc', 'excessive', 'exchangers', 'filters', 'fit', 'for', 'gas', 'generators', 'lacks', 'largely', 'larger', 'layer', 'laying', 'leaving', 'level', 'lip', 'liquid', 'local', 'loose', 'lubrication', 'machined', 'maintenance', 'may', 'moist', 'objects', 'occur', 'open', 'or', 'oscillation', 'overheat', 'part', 'periodical', 'place', 'portion', 'provide', 'pulsations', 'quality', 'radial', 'reduced', 'requirement', 'respective', 'response', 'reversible', 'rigidity', 'satisfied', 'sets', 'shedding', 'significantly', 'slipping', 'slots', 'storage', 'synchronous', 'temperature', 'temporary', 'that', 'thermal', 'tooth', 'tower', 'train', 'transferring', 'transported', 'undue', 'uniform', 'visual', 'water']"
32,"['adhesive', 'airgap', 'an', 'black', 'blades', 'bolts', 'bowing', 'box', 'build', 'cabin', 'called', 'capacity', 'carries', 'casted', 'chimney', 'conduct', 'consumers', 'consuming', 'controlling', 'cost', 'covered', 'cryogenic', 'current', 'cycles', 'demands', 'drives', 'effect', 'emissions', 'end', 'engageable', 'ensure', 'entered', 'equipped', 'expand', 'expanded', 'external', 'extreme', 'fluctuation', 'fluid', 'flux', 'form', 'formation', 'freezing', 'gaseous', 'geneartor', 'greater', 'heavier', 'hit', 'hotter', 'housing', 'hydraulic', 'inadvertently', 'increased', 'increases', 'increasing', 'inflict', 'inherent', 'inspection', 'isolation', 'lamination', 'length', 'lines', 'looseness', 'loss', 'losses', 'machines', 'made', 'magnetically', 'makes', 'minimum', 'modes', 'moisture', 'moment', 'needed', 'network', 'normal', 'offshore', 'one', 'optimal', 'overhang', 'overheating', 'pad', 'partially', 'particles', 'pedestal', 'performed', 'personnel', 'pipe', 'pneumatic', 'positioned', 'possibility', 'promote', 'protecting', 'rating', 'reduce', 'removing', 'requirements', 'requires', 'resulting', 'rings', 'rotating', 'seal', 'segmentation', 'sentence', 'shortcoming', 'side', 'significant', 'situations', 'slowly', 'smear', 'some', 'stresses', 'strike', 'strikes', 'suffer', 'surfaces', 'task', 'thinner', 'threshold', 'time', 'transferred', 'transient', 'transmission', 'undesired', 'unit', 'utility', 'width', 'with', 'working', 'wound']"
